"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AARON","ST","03-Sep-2018","         38.00","         36.10","         39.60","         36.10","-","         38.70","         38.19","     297000","            11342700.00","         98","-","-"
"AARON","ST","04-Sep-2018","         38.70","         39.50","         39.50","         38.35","-","         38.70","         38.55","      78000","             3006750.00","         26","-","-"
"AARON","ST","05-Sep-2018","         38.70","         38.40","         38.50","         38.35","-","         38.35","         38.44","      12000","              461250.00","          4","-","-"
"AARON","ST","06-Sep-2018","         38.35","         38.50","         38.50","         38.30","-","         38.50","         38.42","      15000","              576300.00","          5","-","-"
"AARON","ST","07-Sep-2018","         38.50","         38.35","         38.50","         38.35","-","         38.50","         38.48","      24000","              923550.00","          8","-","-"
"AARON","ST","10-Sep-2018","         38.50","         39.00","         39.00","         39.00","-","         39.00","         39.00","       6000","              234000.00","          2","-","-"
"AARON","ST","11-Sep-2018","         39.00","         39.00","         39.95","         39.00","-","         39.95","         39.33","      18000","              708000.00","          6","-","-"
"AARON","ST","12-Sep-2018","         39.95","         39.45","         41.00","         39.25","-","         41.00","         39.55","      24000","              949200.00","          8","-","-"
"AARON","ST","14-Sep-2018","         41.00","         41.50","         41.50","         41.50","-","         41.50","         41.50","       3000","              124500.00","          1","-","-"
"AARON","ST","17-Sep-2018","         41.50","         41.70","         41.70","         41.30","-","         41.30","         41.53","      18000","              747600.00","          6","-","-"
"AARON","SM","18-Sep-2018","         41.30","         41.30","         41.30","         39.00","         39.00","         39.00","         40.15","       6000","              240900.00","          2","       6000","        100.00"
"AARON","SM","19-Sep-2018","         39.00","         41.00","         41.80","         40.30","         41.50","         41.50","         41.22","      27000","             1113000.00","          9","      21000","         77.78"
"AARON","SM","21-Sep-2018","         41.50","         41.00","         41.00","         41.00","         41.00","         41.00","         41.00","       3000","              123000.00","          1","       3000","        100.00"
"AARON","SM","24-Sep-2018","         41.00","         41.45","         41.60","         41.00","         41.00","         41.00","         41.30","      24000","              991200.00","          8","      24000","        100.00"
"AARON","SM","25-Sep-2018","         41.00","         38.50","         41.00","         38.50","         41.00","         41.00","         39.75","       6000","              238500.00","          2","       3000","         50.00"
"AARON","SM","26-Sep-2018","         41.00","         41.50","         41.50","         41.50","         41.50","         41.50","         41.50","       3000","              124500.00","          1","       3000","        100.00"
"AARON","SM","27-Sep-2018","         41.50","         40.50","         40.50","         40.50","         40.50","         40.50","         40.50","       3000","              121500.00","          1","       3000","        100.00"
"AARON","SM","28-Sep-2018","         40.50","         41.00","         41.00","         41.00","         41.00","         41.00","         41.00","       3000","              123000.00","          1","       3000","        100.00"
"AARON","SM","03-Oct-2018","         41.00","         40.90","         40.90","         40.90","         40.90","         40.90","         40.90","       3000","              122700.00","          1","       3000","        100.00"
"AARON","SM","05-Oct-2018","         40.90","         40.50","         40.50","         39.50","         39.50","         39.50","         40.00","       6000","              240000.00","          2","       6000","        100.00"
"AARON","SM","08-Oct-2018","         39.50","         38.25","         39.25","         38.25","         39.25","         39.25","         38.75","       6000","              232500.00","          2","       3000","         50.00"
"AARON","SM","11-Oct-2018","         39.25","         38.50","         38.50","         38.50","         38.50","         38.50","         38.50","       3000","              115500.00","          1","       3000","        100.00"
"AARON","SM","16-Oct-2018","         38.50","         40.80","         40.80","         40.80","         40.80","         40.80","         40.80","       3000","              122400.00","          1","       3000","        100.00"
"AARON","SM","22-Oct-2018","         40.80","         39.80","         39.80","         39.80","         39.80","         39.80","         39.80","       3000","              119400.00","          1","       3000","        100.00"
"AARON","SM","25-Oct-2018","         39.80","         38.60","         38.60","         38.60","         38.60","         38.60","         38.60","       3000","              115800.00","          1","       3000","        100.00"
"AARON","SM","26-Oct-2018","         38.60","         36.80","         36.80","         36.80","         36.80","         36.80","         36.80","       3000","              110400.00","          1","       3000","        100.00"
"AARON","SM","29-Oct-2018","         36.80","         39.40","         39.40","         39.40","         39.40","         39.40","         39.40","       3000","              118200.00","          1","       3000","        100.00"
"AARON","SM","30-Oct-2018","         39.40","         36.65","         36.65","         36.65","         36.65","         36.65","         36.65","       3000","              109950.00","          1","       3000","        100.00"
"AARON","SM","31-Oct-2018","         36.65","         38.00","         38.00","         35.65","         35.65","         35.65","         36.83","       6000","              220950.00","          2","       6000","        100.00"
"AARON","SM","01-Nov-2018","         35.65","         38.50","         38.50","         38.50","         38.50","         38.50","         38.50","       6000","              231000.00","          2","       6000","        100.00"
"AARON","SM","02-Nov-2018","         38.50","         36.60","         36.60","         36.60","         36.60","         36.60","         36.60","       3000","              109800.00","          1","       3000","        100.00"
"AARON","SM","07-Nov-2018","         36.60","         38.20","         38.50","         38.20","         38.50","         38.35","         38.35","       6000","              230100.00","          2","       6000","        100.00"
"AARON","SM","09-Nov-2018","         38.35","         38.10","         38.10","         38.10","         38.10","         38.10","         38.10","       3000","              114300.00","          1","       3000","        100.00"
"AARON","SM","12-Nov-2018","         38.10","         38.00","         38.10","         38.00","         38.10","         38.10","         38.05","       6000","              228300.00","          2","       6000","        100.00"
"AARON","SM","13-Nov-2018","         38.10","         38.10","         38.80","         38.10","         38.10","         38.10","         38.28","      12000","              459300.00","          4","       9000","         75.00"
"AARON","SM","14-Nov-2018","         38.10","         38.50","         38.60","         38.50","         38.60","         38.60","         38.55","      12000","              462600.00","          4","       6000","         50.00"
"AARON","SM","15-Nov-2018","         38.60","         39.00","         39.00","         39.00","         39.00","         39.00","         39.00","       3000","              117000.00","          1","       3000","        100.00"
"AARON","SM","16-Nov-2018","         39.00","         36.50","         36.50","         36.50","         36.50","         36.50","         36.50","       3000","              109500.00","          1","       3000","        100.00"
"AARON","SM","20-Nov-2018","         36.50","         38.95","         39.80","         38.95","         39.80","         39.80","         39.38","       6000","              236250.00","          2","       6000","        100.00"
"AARON","SM","21-Nov-2018","         39.80","         38.60","         40.00","         38.60","         40.00","         39.65","         39.39","      12000","              472650.00","          4","       9000","         75.00"
"AARON","SM","22-Nov-2018","         39.65","         40.00","         41.00","         40.00","         41.00","         41.00","         40.50","       6000","              243000.00","          2","       6000","        100.00"
"AARON","SM","26-Nov-2018","         41.00","         40.50","         41.00","         40.00","         40.00","         40.50","         40.50","       9000","              364500.00","          3","       6000","         66.67"
"AARON","SM","27-Nov-2018","         40.50","         40.50","         41.00","         40.50","         41.00","         40.75","         40.75","       6000","              244500.00","          2","       3000","         50.00"
"AARON","SM","28-Nov-2018","         40.75","         40.05","         41.95","         40.05","         41.95","         41.90","         41.21","      12000","              494550.00","          4","       6000","         50.00"
"AARON","SM","29-Nov-2018","         41.90","         36.00","         42.20","         36.00","         42.20","         42.20","         41.24","      21000","              866100.00","          5","      18000","         85.71"
"AARON","SM","30-Nov-2018","         42.20","         42.20","         42.60","         42.05","         42.55","         42.55","         42.29","      15000","              634350.00","          4","       9000","         60.00"
"AARON","SM","03-Dec-2018","         42.55","         42.20","         43.50","         42.20","         43.50","         43.50","         43.03","       9000","              387300.00","          3","       9000","        100.00"
"AARON","SM","04-Dec-2018","         43.50","         43.25","         44.00","         43.25","         44.00","         44.00","         43.50","       9000","              391500.00","          3","       9000","        100.00"
"AARON","SM","05-Dec-2018","         44.00","         42.80","         44.10","         42.50","         44.10","         44.10","         43.04","      12000","              516450.00","          4","       9000","         75.00"
"AARON","SM","06-Dec-2018","         44.10","         42.60","         42.60","         42.00","         42.00","         42.00","         42.37","       9000","              381300.00","          3","       9000","        100.00"
"AARON","SM","07-Dec-2018","         42.00","         41.80","         44.40","         41.80","         44.40","         44.40","         43.10","       6000","              258600.00","          2","       3000","         50.00"
"AARON","SM","11-Dec-2018","         44.40","         42.05","         42.05","         42.05","         42.05","         42.05","         42.05","       3000","              126150.00","          1","       3000","        100.00"
"AARON","SM","17-Dec-2018","         42.05","         42.00","         44.50","         42.00","         44.50","         44.50","         43.25","       6000","              259500.00","          2","       6000","        100.00"
"AARON","SM","19-Dec-2018","         44.50","         44.50","         44.50","         44.50","         44.50","         44.50","         44.50","       3000","              133500.00","          1","       3000","        100.00"
"AARON","SM","20-Dec-2018","         44.50","         43.25","         43.50","         43.25","         43.50","         43.35","         43.38","       6000","              260250.00","          2","       6000","        100.00"
"AARON","SM","24-Dec-2018","         43.35","         42.05","         42.05","         42.05","         42.05","         42.05","         42.05","       3000","              126150.00","          1","       3000","        100.00"
