"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SPICEJET","EQ","19-Aug-2019","        143.50","        151.95","        152.85","        145.10","        146.00","        146.40","        148.21","    1597021","           236700386.80","      15772","     500915","         31.37"
"SPICEJET","EQ","20-Aug-2019","        146.40","        145.90","        146.45","        139.35","        140.90","        141.00","        141.21","    1268854","           179172719.10","      12151","     303731","         23.94"
"SPICEJET","EQ","21-Aug-2019","        141.00","        141.15","        143.50","        136.40","        136.90","        136.80","        139.61","     925679","           129229512.90","       9174","     294373","         31.80"
"SPICEJET","EQ","22-Aug-2019","        136.80","        136.50","        136.50","        130.50","        131.80","        131.40","        133.46","     709630","            94709775.35","       5986","     324229","         45.69"
"SPICEJET","EQ","23-Aug-2019","        131.40","        131.00","        134.50","        125.40","        132.45","        132.10","        131.58","    1255693","           165225357.00","      19005","     522094","         41.58"
"SPICEJET","EQ","26-Aug-2019","        132.10","        137.00","        137.00","        129.65","        129.90","        129.95","        132.24","    1206242","           159508992.35","      15697","     717700","         59.50"
"SPICEJET","EQ","27-Aug-2019","        129.95","        131.40","        132.90","        129.20","        129.95","        129.70","        131.04","     981521","           128618266.00","      14068","     383017","         39.02"
"SPICEJET","EQ","28-Aug-2019","        129.70","        132.00","        134.00","        128.55","        128.85","        129.20","        129.89","    1298382","           168642111.70","      13549","     505731","         38.95"
"SPICEJET","EQ","29-Aug-2019","        129.20","        128.70","        129.80","        126.55","        128.05","        127.95","        128.01","     737478","            94403824.25","       9840","     230675","         31.28"
"SPICEJET","EQ","30-Aug-2019","        127.95","        128.45","        134.00","        126.75","        132.55","        132.85","        130.80","    1594630","           208576548.55","      18306","     678999","         42.58"
"SPICEJET","EQ","03-Sep-2019","        132.85","        130.90","        133.45","        127.20","        128.10","        128.05","        130.93","    1401445","           183489889.45","      15643","     493490","         35.21"
"SPICEJET","EQ","04-Sep-2019","        128.05","        128.90","        131.80","        128.10","        130.00","        130.45","        129.83","     877585","           113932810.25","      11217","     252744","         28.80"
"SPICEJET","EQ","05-Sep-2019","        130.45","        130.10","        131.85","        128.70","        130.30","        130.25","        130.65","     616084","            80489273.05","       6924","     210878","         34.23"
"SPICEJET","EQ","06-Sep-2019","        130.25","        130.00","        131.70","        129.15","        129.45","        129.95","        130.65","    1109262","           144927982.65","       9170","     178895","         16.13"
"SPICEJET","EQ","09-Sep-2019","        129.95","        129.05","        130.50","        128.35","        129.05","        129.05","        129.33","     638535","            82584677.45","       9265","     271036","         42.45"
"SPICEJET","EQ","11-Sep-2019","        129.05","        129.00","        129.95","        128.20","        128.75","        128.75","        129.27","     932778","           120583827.90","       9072","     196562","         21.07"
"SPICEJET","EQ","12-Sep-2019","        128.75","        129.65","        135.85","        129.05","        133.60","        132.90","        133.32","    2394288","           319209208.85","      21696","     780760","         32.61"
"SPICEJET","EQ","13-Sep-2019","        132.90","        133.60","        135.20","        130.55","        131.25","        131.60","        132.90","    1191068","           158287932.90","      15122","     409185","         34.35"
"SPICEJET","EQ","16-Sep-2019","        131.60","        125.00","        128.00","        121.10","        126.30","        126.40","        125.99","    1279222","           161173080.75","      11525","     687716","         53.76"
"SPICEJET","EQ","17-Sep-2019","        126.40","        125.40","        127.80","        123.65","        124.80","        124.40","        125.76","     721736","            90767158.65","       9854","     343496","         47.59"
"SPICEJET","EQ","18-Sep-2019","        124.40","        128.00","        129.10","        126.00","        127.00","        126.95","        127.13","     513269","            65252103.10","       5736","     211148","         41.14"
"SPICEJET","EQ","19-Sep-2019","        126.95","        128.20","        128.65","        124.60","        125.35","        125.15","        126.12","     625577","            78897307.00","       7543","     204298","         32.66"
"SPICEJET","EQ","20-Sep-2019","        125.15","        125.55","        132.00","        123.60","        125.50","        124.75","        126.96","    2479068","           314753315.60","      23905","    1076059","         43.41"
"SPICEJET","EQ","23-Sep-2019","        124.75","        127.00","        129.40","        126.20","        127.15","        127.00","        127.16","     888713","           113010802.95","       9701","     383668","         43.17"
"SPICEJET","EQ","24-Sep-2019","        127.00","        127.70","        132.15","        126.10","        130.55","        130.45","        128.91","    2513285","           323993941.05","      17976","    1161408","         46.21"
"SPICEJET","EQ","25-Sep-2019","        130.45","        133.00","        134.30","        128.15","        128.70","        129.20","        131.84","    3761173","           495860910.20","      51332","    1773213","         47.15"
"SPICEJET","EQ","26-Sep-2019","        129.20","        130.80","        133.00","        129.15","        131.55","        131.95","        131.12","    2617307","           343180934.35","      23630","    1148658","         43.89"
"SPICEJET","EQ","27-Sep-2019","        131.95","        131.95","        132.15","        127.10","        127.80","        127.80","        129.92","    1569179","           203864920.40","      25014","     657679","         41.91"
